상품이름
흙 당근
국산콩 콩나물 300g
겨울 무 
국산콩두부300g*2입
수제망 양파 
알배기 
소소한하루 양파
국산 콩 순두부 
고소한 유기농 찌개두부 290g
깨끗한 양배추 
고소한 유기농 부침두부 290g
친환경 콩나물 250g
촌두부 550G
소소한하루 깐마늘80g
I`mperfect 대파 
특등급 국산콩 무농약 콩나물 340g
포항초 
팽이버섯 
SOGA 부드러운 찌개 두부 
한끼에 하나씩 양배추 
인큐 애호박 
친환경 숙주나물 200g
실속 대파 
청정원 찌개두부 300g
 친환경 느타리버섯 200g
청양고추 
영덕 시금치 
양송이버섯 
부추 
세척당근 
무농약 국산숙주 260g
특등급 국산콩 투컵 두부 600g
행복한콩 고소한 순두부기획 350g*2
I`mperfect 감자 
요리하기 편리한 하얀숙주 500g
유명산지 햇감자 
국산무농약전주콩나물 340g+60g
겨울시금치 
브로콜리
청경채 
행복한콩 큰두부 500g*2
미니로메인
 친환경 팽이버섯 2입
봄동 
 깻잎 
양상추 
밤 고구마 
향이 진한 다진마늘 
 친환경 추부깻잎 20장 
 친환경 양파 1kg
호박고구마 
생표고버섯 
깔끔 손질 새송이버섯 
아삭통통숙주 380g
간편한 채소믹스 500g
행복한콩 안심아삭 콩나물 380g
미역줄기
야채쏙 두부봉 180g
파주 장단콩 순두부 350g
프레스코 샐러드 330g
네컵 연두부 360g
 친환경 감자 600g
풀무원 소가크고단단한두부 500g
백오이 
오이맛고추 
손질 새송이버섯 600g 
미니 양송이버섯 
깨끗이 손질된 양배추 
파프리카 혼합 
깐마늘 
참타리 버섯 400g 
샐러리 1통 
 친환경 당근 500g
포기상추 
냉이 
유기농 콩나물 270g
실속 양파 
국산콩 순두부350g
달래 
I`mperfect 새송이버섯 
